epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.79201,1.53027,4.28627,1.49276,0,0,0,0,2.64595,4.07413,2.37243,0.0810095,9.5e-06,9.5e-06
2,17.3146,1.3801,2.66436,1.34436,0,0,0,0,3.1537,4.02726,2.60166,0.0610195,1.94952e-05,1.94952e-05
3,24.9399,1.38651,2.01005,1.34935,0.41739,0.15635,0.26843,0.14716,2.00987,4.17872,1.80558,0.0410295,2.94712e-05,2.94712e-05
4,32.6787,1.25985,1.63888,1.26889,0.21691,0.38436,0.28316,0.14946,1.74153,4.04609,1.65611,0.0210394,3.94132e-05,3.94132e-05
5,40.3544,1.25501,1.50407,1.25447,0.38198,0.49511,0.40888,0.20459,1.69569,3.09607,1.54004,0.00104931,4.93068e-05,4.93068e-05
6,48.0963,1.21603,1.36513,1.22365,0.64044,0.40613,0.51329,0.27665,1.61489,2.44738,1.47296,4.96953e-05,4.96953e-05,4.96953e-05
7,55.8493,1.18129,1.26594,1.19591,0.63947,0.51792,0.55239,0.29276,1.60086,1.95237,1.52628,4.95616e-05,4.95616e-05,4.95616e-05
8,63.6561,1.17013,1.22507,1.19014,0.62598,0.56026,0.59155,0.33222,1.57228,1.80983,1.46644,4.94039e-05,4.94039e-05,4.94039e-05
9,71.3635,1.16025,1.17381,1.18518,0.64875,0.56551,0.61215,0.35423,1.54972,1.68936,1.45007,4.92224e-05,4.92224e-05,4.92224e-05
10,79.0615,1.18797,1.1692,1.18354,0.62869,0.62541,0.61079,0.3395,1.53624,1.66099,1.43528,4.90173e-05,4.90173e-05,4.90173e-05
11,86.847,1.16492,1.10674,1.17387,0.73031,0.55572,0.64903,0.35844,1.56846,1.47213,1.44903,4.87886e-05,4.87886e-05,4.87886e-05
12,94.6054,1.14124,1.08364,1.15222,0.67706,0.58732,0.63879,0.35028,1.50404,1.47317,1.407,4.85368e-05,4.85368e-05,4.85368e-05
13,102.32,1.14662,1.07055,1.16648,0.68841,0.62215,0.65973,0.36121,1.53287,1.44109,1.43769,4.8262e-05,4.8262e-05,4.8262e-05
